Mes,Tarifa,Segmento,Unidades,Concepto,Division,Int. Horario,Cargos tarifarios
enero 2020,PDBT,CENACE,$/kWh,Energia,Sureste,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Sureste,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Sureste,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Sureste,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Sureste,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Sureste,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Sureste,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Sureste,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Sureste,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Sureste,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0080
